DISTRICT,PROVINCE,Horses/Asses,MILKING  COWS NO.,MILKING  BUFFALOES NO.,COW MILK,BUFF MILK,TOTAL MILK PRODUCED,BUFF,MUTTON,CHEVON,PORK ,CHICKEN,DUCK MEAT,TOTAL MEAT,LAYING HEN,LAYING DUCK,HEN EGG,DUCK EGG,TOTAL EGG,Rabbit,SHEEPS NO.,SHEEP WOOL PRODUCED
Taplejung,1,543.0,8123.0,4987.0,5389.0,4257.0,9645.0,607.0,31.0,491.0,443.0,172.0,0.0,1744.0,15366.0,341.0,2420.0,25.0,2445.0,506.0,5777.0,3519.0
Sankhuwashava,Not a District,358.0,15342.0,13367.0,6988.0,10589.0,17577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77512.0,465.0,5506.0,34.0,5540.0,313.0,12181.0,9050.0
Solukhumbu,1,1775.0,7819.0,13501.0,2948.0,5493.0,8441.0,1123.0,28.0,416.0,428.0,166.0,0.0,2161.0,42671.0,374.0,2345.0,28.0,2373.0,105.0,8461.0,6286.0
Panchthar,1,15.0,14854.0,11331.0,8511.0,9835.0,18346.0,1496.0,4.0,940.0,730.0,248.0,1.0,3419.0,63779.0,261.0,5581.0,19.0,5600.0,29.0,1338.0,994.0
Illam,Not a District,2815.0,26821.0,5759.0,19735.0,15261.0,34996.0,1974.0,1.0,870.0,416.0,104.0,0.0,3365.0,26781.0,332.0,6656.0,27.0,6683.0,240.0,160.0,118.0
Terathum,Not a District,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhojpur,1,168.0,14103.0,16342.0,7324.0,14184.0,21508.0,1251.0,51.0,313.0,919.0,251.0,2.0,2787.0,53957.0,1136.0,4037.0,88.0,4125.0,42.0,18210.0,13530.0
Khotang,1,350.0,12998.0,19501.0,7105.0,12275.0,19380.0,1997.0,31.0,442.0,705.0,310.0,1.0,3486.0,50271.0,354.0,4310.0,27.0,4337.0,100.0,9156.0,5925.0
Okhaldhunga,1,102.0,7930.0,11693.0,4555.0,5516.0,10071.0,1497.0,31.0,685.0,751.0,294.0,0.0,3258.0,59344.0,445.0,3296.0,33.0,3329.0,645.0,9105.0,6756.0
Udayapur,1,1302.0,15867.0,26138.0,9092.0,22687.0,31779.0,3346.0,2.0,1430.0,818.0,578.0,2.0,6176.0,148326.0,1474.0,50120.0,116.0,50236.0,1217.0,609.0,452.0
Jhapa,1,42.0,36068.0,19327.0,29667.0,32457.0,62124.0,5241.0,0.0,1447.0,1115.0,1425.0,9.0,9237.0,199044.0,3200.0,28610.0,258.0,28868.0,370.0,36.0,13.0
Morang,1,47.0,56521.0,27610.0,37387.0,35820.0,73207.0,5347.0,1.0,1678.0,861.0,1444.0,28.0,9359.0,336661.0,25971.0,31600.0,2052.0,33652.0,0.0,490.0,364.0
Sunsari,1,57.0,40311.0,38560.0,14964.0,27894.0,42858.0,4728.0,12.0,1769.0,884.0,820.0,23.0,8236.0,204547.0,7228.0,29569.0,549.0,30118.0,1138.0,3658.0,3152.0
E.Region,Not a District,7616.0,0.0,0.0,0.0,0.0,0.0,41220.0,269.0,15729.0,10195.0,8811.0,89.0,76313.0,1780554.06,60193.0,214241.0,4712.0,218953.0,5124.0,79815.0,58002.0
Nuwakot,3,950.0,21350.0,38480.0,12234.0,18937.0,31171.0,4160.0,66.0,700.0,285.0,1140.0,3.0,6354.0,292757.0,2824.0,26109.0,215.0,26324.0,0.0,19741.0,14667.0
Rautahat,2,198.0,16493.0,22102.0,13162.0,15369.0,28531.0,2672.0,3.0,984.0,153.0,452.0,4.0,4268.0,116105.0,3651.0,7822.0,277.0,8099.0,0.0,917.0,681.0
Bara,2,305.0,18771.0,39650.0,11952.0,22738.0,34690.0,4076.0,1.0,1205.0,356.0,945.0,10.0,6593.0,242429.0,8244.0,9955.0,627.0,10582.0,65.0,336.0,249.0
Chitwan,3,15.0,14934.0,18166.0,14947.0,30230.0,45177.0,5550.0,13.0,1769.0,598.0,9810.0,13.0,17753.0,2751238.0,2006.0,411901.0,274.0,412175.0,0.0,3900.0,2897.0
C.Region,Not a District,1468.0,0.0,0.0,0.0,0.0,0.0,50244.0,256.0,16893.0,4432.0,28728.0,67.0,100620.0,7118554.32,49572.0,756783.0,3907.0,760690.0,5304.0,77126.0,57295.0
Manang,4,502.0,452.0,0.0,259.0,0.0,259.0,0.0,12.0,56.0,2.0,8.0,0.0,78.0,2083.0,10.0,210.0,1.0,211.0,35.0,5693.0,4354.0
Mustang,4,1856.0,1109.0,49.0,635.0,35.0,670.0,6.0,22.0,139.0,1.0,5.0,0.0,173.0,1488.0,3.0,406.0,0.0,406.0,0.0,6564.0,4877.0
Gorkha,4,854.0,14927.0,17250.0,7653.0,10468.0,18121.0,3147.0,100.0,815.0,197.0,691.0,1.0,4951.0,78538.0,425.0,4598.0,32.0,4630.0,48.0,29760.0,22111.0
Lamjung,4,21.0,4887.0,11062.0,4241.0,11622.0,15863.0,1416.0,54.0,621.0,111.0,504.0,1.0,2707.0,47196.0,381.0,7433.0,29.0,7462.0,76.0,15961.0,11859.0
Tanahu,Not a District,16.0,14942.0,30798.0,9678.0,32272.0,41950.0,3347.0,2.0,752.0,152.0,225.0,1.0,4479.0,91121.0,318.0,14352.0,24.0,14376.0,498.0,548.0,407.0
Kaski,4,381.0,8879.0,37592.0,9782.0,31234.0,41016.0,4583.0,117.0,839.0,659.0,1738.0,19.0,7955.0,451830.0,5226.0,42827.0,324.0,43151.0,1484.0,16417.0,12197.0
Parbat,4,1043.0,5655.0,9281.0,3450.0,10161.0,13611.0,1231.0,18.0,374.0,212.0,280.0,9.0,2124.0,46229.0,8150.0,6252.0,525.0,6777.0,697.0,5491.0,4079.0
Syangja,4,17.0,5694.0,24818.0,6805.0,49275.0,56080.0,3177.0,40.0,1129.0,253.0,456.0,3.0,5058.0,116948.0,2888.0,5846.0,219.0,6065.0,384.0,2401.0,1580.0
Myagdi,4,582.0,5562.0,8412.0,3507.0,9301.0,12808.0,1256.0,40.0,385.0,1106.0,405.0,1.0,3193.0,32043.0,501.0,3081.0,38.0,3119.0,1133.0,9978.0,7411.0
Baglung,4,1250.0,8950.0,22929.0,5128.0,18093.0,23221.0,2124.0,19.0,578.0,109.0,297.0,1.0,3128.0,57523.0,1370.0,2199.0,104.0,2303.0,120.0,6851.0,5090.0
